cluster,confidence_max,confidence_min,end_time,location_x,location_y,reliability_max,reliability_min,start_time,thumbs_up,uuid count,point
280,1,0,2018-10-15 20:55:00,-56.135704,-34.84435,7,5,2018-10-15 20:41:00,2,1,POINT (-56.135704 -34.84435)
281,0,0,2018-10-16 07:48:00,-56.063393,-34.898129,5,5,2018-10-16 07:31:00,0,1,POINT (-56.063393 -34.898129)
282,0,0,2018-10-16 09:21:00,-56.182095,-34.879633,5,5,2018-10-16 09:03:00,0,1,POINT (-56.182095 -34.879633)
283,3,0,2018-10-16 10:09:00,-56.092305470899475,-34.89530078968253,10,5,2018-10-16 08:49:00,10,4,POINT (-56.09230547089948 -34.89530078968253)
284,0,0,2018-10-16 09:44:00,-56.181421,-34.900122,7,5,2018-10-16 09:26:00,1,1,POINT (-56.181421 -34.900122)
285,0,0,2018-10-16 12:01:00,-56.130371999999994,-34.904272500000005,6,5,2018-10-16 10:33:00,1,2,POINT (-56.13037199999999 -34.9042725)
286,0,0,2018-10-16 11:07:00,-56.168805,-34.834668,5,5,2018-10-16 10:45:00,0,1,POINT (-56.168805 -34.834668)
287,0,0,2018-10-16 14:07:00,-56.253147,-34.833357,5,5,2018-10-16 13:45:00,0,1,POINT (-56.253147 -34.833357)
288,0,0,2018-10-16 16:04:00,-56.253768,-34.836319333333336,6,5,2018-10-16 14:10:00,1,3,POINT (-56.253768 -34.83631933333334)
289,0,0,2018-10-16 16:53:00,-56.097425,-34.891132,6,5,2018-10-16 16:46:00,1,1,POINT (-56.097425 -34.891132)
290,1,0,2018-10-15 23:39:00,-56.136666,-34.842249,8,5,2018-10-15 22:59:00,3,1,POINT (-56.136666 -34.842249)
291,0,0,2018-10-12 21:10:00,-56.067272,-34.898424,5,5,2018-10-12 21:03:00,0,1,POINT (-56.067272 -34.898424)
292,0,0,2018-10-12 21:34:00,-56.16677,-34.889862,5,5,2018-10-12 21:08:00,0,1,POINT (-56.16677 -34.889862)
293,0,0,2018-10-13 13:48:00,-56.210161,-34.870266,5,5,2018-10-13 13:29:00,0,1,POINT (-56.210161 -34.870266)
294,0,0,2018-10-13 15:37:00,-56.22436,-34.792021,5,5,2018-10-13 15:27:00,0,1,POINT (-56.22436 -34.792021)
295,0,0,2018-10-13 16:18:00,-56.2241635,-34.7888825,5,5,2018-10-13 15:29:00,0,2,POINT (-56.2241635 -34.7888825)
296,2,0,2018-10-08 13:14:00,-56.1944035,-34.901426,10,5,2018-10-08 11:34:00,5,2,POINT (-56.1944035 -34.901426)
297,0,0,2018-10-08 12:31:00,-56.228062,-34.805441,6,5,2018-10-08 12:08:00,1,1,POINT (-56.228062 -34.805441)
298,0,0,2018-10-08 17:12:00,-56.145204,-34.896058,7,7,2018-10-08 16:42:00,0,1,POINT (-56.145204 -34.896058)
299,0,0,2018-10-08 17:24:00,-56.24184,-34.870884,5,5,2018-10-08 16:55:00,0,1,POINT (-56.24184 -34.870884)
300,0,0,2018-10-08 17:57:00,-56.142783,-34.882936,9,8,2018-10-08 17:18:00,1,1,POINT (-56.142783 -34.882936)
301,3,0,2018-10-08 18:14:00,-56.151925,-34.876286,10,5,2018-10-08 17:41:00,6,1,POINT (-56.151925 -34.876286)
302,0,0,2018-10-08 18:45:00,-56.168339,-34.862427,5,5,2018-10-08 18:15:00,0,1,POINT (-56.168339 -34.862427)
303,0,0,2018-10-08 20:58:00,-56.172082,-34.895228,6,6,2018-10-08 20:29:00,0,1,POINT (-56.172082 -34.895228)
304,0,0,2018-10-08 02:39:00,-56.078635,-34.897338,5,5,2018-10-08 02:15:00,0,1,POINT (-56.078635 -34.897338)
305,0,0,2018-10-09 08:55:00,-56.260509,-34.887886,5,5,2018-10-09 08:30:00,0,1,POINT (-56.260509 -34.887886)
306,0,0,2018-10-09 09:01:00,-56.151272875,-34.8411474,6,5,2018-10-09 06:40:00,2,5,POINT (-56.151272875 -34.8411474)
307,0,0,2018-10-09 09:04:00,-56.176923,-34.889769,5,5,2018-10-09 08:43:00,0,1,POINT (-56.176923 -34.889769)
308,0,0,2018-10-09 11:33:00,-56.185601,-34.894799,5,5,2018-10-09 11:03:00,0,1,POINT (-56.185601 -34.894799)
309,0,0,2018-10-09 14:12:00,-56.1930435,-34.9114995,5,5,2018-10-09 13:02:00,0,2,POINT (-56.1930435 -34.9114995)
310,0,0,2018-10-09 14:50:00,-56.054934,-34.886916,5,5,2018-10-09 14:29:00,0,1,POINT (-56.054934 -34.886916)
311,0,0,2018-10-09 15:26:00,-56.169464999999995,-34.90005875,6,5,2018-10-09 13:28:00,1,4,POINT (-56.169465 -34.90005875)
312,0,0,2018-10-09 17:38:00,-56.181129999999996,-34.8894095,5,5,2018-10-09 16:42:00,0,2,POINT (-56.18113 -34.8894095)
313,0,0,2018-10-09 17:52:00,-56.107226,-34.895791,5,5,2018-10-09 17:26:00,0,1,POINT (-56.107226 -34.895791)
314,0,0,2018-10-09 06:38:00,-56.143942,-34.856919,5,5,2018-10-09 06:15:00,0,1,POINT (-56.143942 -34.856919)
315,0,0,2018-10-09 21:58:00,-56.203467,-34.905157,6,5,2018-10-09 21:15:00,1,1,POINT (-56.203467 -34.905157)
316,0,0,2018-10-10 08:20:00,-56.095957,-34.875161,5,5,2018-10-10 07:54:00,0,1,POINT (-56.095957 -34.875161)
317,0,0,2018-10-10 09:57:00,-56.132966333333336,-34.88657933333334,6,5,2018-10-10 08:55:00,1,3,POINT (-56.13296633333334 -34.88657933333334)
318,0,0,2018-10-10 09:42:00,-56.166455,-34.884406,6,5,2018-10-10 09:19:00,1,1,POINT (-56.166455 -34.884406)
319,0,0,2018-10-10 10:36:00,-56.189332,-34.8595,6,5,2018-10-10 10:12:00,0,1,POINT (-56.189332 -34.8595)
320,1,0,2018-10-10 14:03:00,-56.16539433333333,-34.895300666666664,10,5,2018-10-10 12:27:00,7,3,POINT (-56.16539433333333 -34.89530066666666)
321,0,0,2018-10-10 14:59:00,-56.167382333333336,-34.86940466666667,6,5,2018-10-10 13:05:00,1,3,POINT (-56.16738233333334 -34.86940466666667)
322,0,0,2018-10-10 16:17:00,-56.1957785,-34.9073145,5,5,2018-10-10 15:30:00,0,2,POINT (-56.1957785 -34.9073145)
323,0,0,2018-10-10 16:11:00,-56.155328,-34.879341,5,5,2018-10-10 15:53:00,0,1,POINT (-56.155328 -34.879341)
324,5,0,2018-10-10 17:14:00,-56.14498254054054,-34.911130108108104,10,5,2018-10-10 15:58:00,15,7,POINT (-56.14498254054054 -34.9111301081081)
325,1,0,2018-10-10 17:33:00,-56.144209,-34.887837,7,5,2018-10-10 16:45:00,2,1,POINT (-56.144209 -34.887837)
326,0,0,2018-10-10 17:25:00,-56.148701,-34.825129,5,5,2018-10-10 16:56:00,0,1,POINT (-56.148701 -34.825129)
327,2,0,2018-10-10 18:32:00,-56.1705605,-34.9003155,9,5,2018-10-10 17:18:00,7,2,POINT (-56.1705605 -34.9003155)
328,0,0,2018-10-10 18:33:00,-56.171254,-34.914668,5,5,2018-10-10 18:07:00,0,1,POINT (-56.171254 -34.914668)
329,1,0,2018-10-10 19:43:00,-56.174595499999995,-34.91443099999999,7,5,2018-10-10 18:31:00,2,2,POINT (-56.1745955 -34.91443099999999)
330,1,0,2018-09-30 21:37:00,-56.1249,-34.897352,8,5,2018-09-30 21:13:00,2,1,POINT (-56.1249 -34.897352)
331,0,0,2018-10-01 08:19:00,-56.119567999999994,-34.89470533333333,5,5,2018-10-01 07:54:00,0,3,POINT (-56.11956799999999 -34.89470533333333)
332,0,0,2018-10-01 11:46:00,-56.19141028571429,-34.881827,5,5,2018-10-01 08:41:00,0,7,POINT (-56.19141028571429 -34.881827)
