"uuid","start_time","end_time","location_x","location_y","reliability_min","reliability_max","confidence_min","confidence_max","thumbs_up"
"15640ce5-d8f0-371e-9620-fe968ab9c85c","2019-02-04 11:37:00.000 America/Sao_Paulo","2019-02-04 11:56:00.000 America/Sao_Paulo","-46.48711200000002","-23.536765","5","10","0","4","10"
"b721db36-f3ef-31f0-a327-69f894572fdb","2019-02-04 08:23:00.000 America/Sao_Paulo","2019-02-04 09:03:00.000 America/Sao_Paulo","-46.625532000000014","-23.53314","5","5","0","0","0"
"f302fc71-dc89-3860-b0d0-e98acde5e801","2019-02-04 09:50:00.000 America/Sao_Paulo","2019-02-04 10:49:00.000 America/Sao_Paulo","-46.627483000000055","-23.542167999999965","5","8","0","1","3"
"bdb2cc29-62bc-325d-b6d4-d3cc0f27389c","2019-02-04 09:43:00.000 America/Sao_Paulo","2019-02-04 10:43:00.000 America/Sao_Paulo","-46.66963500000004","-23.566059","5","5","0","0","0"
"8de44105-dbdb-337f-8f28-917e0eb39f6b","2019-02-04 06:16:00.000 America/Sao_Paulo","2019-02-04 07:37:00.000 America/Sao_Paulo","-46.63125099999991","-23.527691999999945","5","6","0","0","1"
"27397719-b78b-3640-97b1-4ce1b8da719b","2019-02-04 03:21:00.000 America/Sao_Paulo","2019-02-04 04:20:00.000 America/Sao_Paulo","-46.67976700000005","-23.664395999999975","5","6","0","0","1"
"4d8cd6ae-0a12-3663-ad4b-2a1120baa495","2019-02-04 06:16:00.000 America/Sao_Paulo","2019-02-04 07:22:00.000 America/Sao_Paulo","-46.674798","-23.696738999999987","5","6","0","0","1"
"4fe07870-83d5-3f8d-a297-361f55bc2487","2019-02-04 07:58:00.000 America/Sao_Paulo","2019-02-04 09:12:00.000 America/Sao_Paulo","-46.696840999999964","-23.606226999999993","5","6","0","0","1"
"90809d3f-7982-3055-a454-21edf23bd6f7","2019-02-04 08:14:00.000 America/Sao_Paulo","2019-02-04 09:14:00.000 America/Sao_Paulo","-46.65910699999997","-23.51708199999999","6","9","0","1","3"
"cfa1bf2f-c930-3aed-bc5d-f8e84618099d","2019-02-04 08:11:00.000 America/Sao_Paulo","2019-02-04 09:04:00.000 America/Sao_Paulo","-46.63117300000004","-23.519628000000008","5","5","0","0","0"
"f1d6930c-b0b2-3401-9197-d8903d80c60d","2019-02-04 09:18:00.000 America/Sao_Paulo","2019-02-04 11:53:00.000 America/Sao_Paulo","-46.62734499999993","-23.518630000000027","5","10","0","5","24"
"f39f506a-d7e3-3cd4-a816-b8b969e01715","2019-02-04 09:15:00.000 America/Sao_Paulo","2019-02-04 09:33:00.000 America/Sao_Paulo","-46.69696199999999","-23.60655600000001","5","5","0","0","0"
"3cb81ba5-5a46-35d0-a38c-989503e73347","2019-02-04 09:40:00.000 America/Sao_Paulo","2019-02-04 10:41:00.000 America/Sao_Paulo","-46.772582999999955","-23.58362899999998","5","6","0","0","0"
"1e74bfff-b37d-37b0-b676-4642a7731d06","2019-02-04 09:33:00.000 America/Sao_Paulo","2019-02-04 10:36:00.000 America/Sao_Paulo","-46.60071500000003","-23.621607999999984","5","7","0","1","2"
"38cf062c-2dc5-3b4b-aeab-89a39abb981c","2019-02-04 03:14:00.000 America/Sao_Paulo","2019-02-04 04:04:00.000 America/Sao_Paulo","-46.66920699999996","-23.63263500000001","5","6","0","0","0"
"129ae194-5ca2-3215-8d9b-e8aef31266d5","2019-02-04 06:23:00.000 America/Sao_Paulo","2019-02-04 07:23:00.000 America/Sao_Paulo","-46.66668799999995","-23.514566999999964","5","5","0","0","0"
"1d9c99c8-8ba3-306a-a1bc-470aeb8a00c3","2019-02-04 06:12:00.000 America/Sao_Paulo","2019-02-04 07:31:00.000 America/Sao_Paulo","-46.62962337500004","-23.5184448125","5","7","0","1","0"
"cbf7d327-b896-36d8-9432-549832a8af51","2019-02-04 02:59:00.000 America/Sao_Paulo","2019-02-04 03:58:00.000 America/Sao_Paulo","-46.596229000000065","-23.54515799999998","5","6","0","0","1"
"53c408cd-239c-3274-abd1-1f3671156d64","2019-02-04 02:49:00.000 America/Sao_Paulo","2019-02-04 03:59:00.000 America/Sao_Paulo","-46.61848700000006","-23.53254799999997","5","6","0","0","1"
"e4b4f73f-1967-3462-a7c4-e799e8bf7656","2019-02-04 15:24:00.000 America/Sao_Paulo","2019-02-04 17:21:00.000 America/Sao_Paulo","-46.556050999999904","-23.525905999999985","5","10","0","5","13"
"7678c4d8-a83a-3eda-8c7f-590f33040c25","2019-02-04 07:45:00.000 America/Sao_Paulo","2019-02-04 09:29:00.000 America/Sao_Paulo","-46.59772299999995","-23.590257999999967","5","9","0","2","4"
"ddd5b322-dc3d-3697-a106-7099d27a199c","2019-02-04 07:58:00.000 America/Sao_Paulo","2019-02-04 09:14:00.000 America/Sao_Paulo","-46.563659999999935","-23.52389199999999","5","8","0","1","3"
